epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5702.27,0.71288,0.34146,0.81568,0.50769,0.49864,0.33667,0.09986,2.95181,1.29299,1.60453,0.008614,0.008614,0.008614
44,5834.7,0.71078,0.3396,0.81545,0.50812,0.49821,0.33693,0.09986,2.94866,1.29264,1.60352,0.008581,0.008581,0.008581
45,5966.99,0.71184,0.34023,0.81536,0.5064,0.49627,0.33609,0.09979,2.95216,1.29508,1.60585,0.008548,0.008548,0.008548
46,6099.26,0.70607,0.33772,0.81442,0.50601,0.49496,0.33508,0.09949,2.95347,1.29928,1.60581,0.008515,0.008515,0.008515
47,6231.61,0.70288,0.3364,0.81402,0.50439,0.49492,0.33295,0.09851,2.95642,1.30122,1.60744,0.008482,0.008482,0.008482
48,6364.35,0.7008,0.33475,0.8141,0.5038,0.49579,0.33247,0.09819,2.9588,1.30108,1.60957,0.008449,0.008449,0.008449
49,6496.06,0.70091,0.33507,0.81339,0.50241,0.49482,0.33176,0.09801,2.9616,1.3009,1.61083,0.008416,0.008416,0.008416
50,6628.37,0.6994,0.33412,0.81383,0.50108,0.49378,0.33022,0.09764,2.96381,1.30254,1.61231,0.008383,0.008383,0.008383
51,6760.52,0.69683,0.33331,0.81321,0.50029,0.4934,0.3299,0.09739,2.96481,1.30549,1.61305,0.00835,0.00835,0.00835
52,6892.12,0.69278,0.33145,0.81288,0.49975,0.49377,0.33004,0.09755,2.96467,1.30658,1.61304,0.008317,0.008317,0.008317
53,7024.21,0.69125,0.33067,0.81254,0.4997,0.49354,0.32975,0.09745,2.96557,1.30772,1.61352,0.008284,0.008284,0.008284
54,7156.79,0.69008,0.3299,0.81204,0.49882,0.49308,0.32892,0.09727,2.9682,1.30875,1.61543,0.008251,0.008251,0.008251
55,7288.72,0.68951,0.32895,0.81242,0.49742,0.49315,0.32799,0.09692,2.97002,1.30921,1.6162,0.008218,0.008218,0.008218
56,7421.11,0.68678,0.32773,0.81242,0.49686,0.49319,0.32718,0.09666,2.9705,1.30982,1.61703,0.008185,0.008185,0.008185
57,7552.45,0.68449,0.32725,0.81208,0.49606,0.49343,0.32637,0.09646,2.97127,1.31101,1.61762,0.008152,0.008152,0.008152
58,7684.41,0.68373,0.32646,0.81083,0.49586,0.49411,0.32703,0.09664,2.97102,1.3112,1.61813,0.008119,0.008119,0.008119
59,7815.9,0.68214,0.32506,0.81134,0.49565,0.49398,0.32588,0.09595,2.97198,1.31112,1.61877,0.008086,0.008086,0.008086
60,7947.92,0.67929,0.32451,0.81114,0.49568,0.49398,0.32589,0.0958,2.9732,1.3123,1.61938,0.008053,0.008053,0.008053
61,8079.72,0.67691,0.32401,0.8109,0.4961,0.4938,0.32567,0.09568,2.97414,1.312,1.62018,0.00802,0.00802,0.00802
62,8211.88,0.67797,0.32347,0.81056,0.49637,0.49394,0.32587,0.09568,2.97479,1.31169,1.62021,0.007987,0.007987,0.007987
63,8343.3,0.67524,0.32248,0.81007,0.49595,0.4938,0.32589,0.09541,2.97741,1.31283,1.62127,0.007954,0.007954,0.007954
64,8474.8,0.67461,0.32185,0.81027,0.49586,0.4945,0.32649,0.09543,2.97751,1.31289,1.62105,0.007921,0.007921,0.007921
65,8606.18,0.66942,0.31964,0.80954,0.49647,0.49495,0.32712,0.09543,2.97908,1.31361,1.62159,0.007888,0.007888,0.007888
66,8738.66,0.6675,0.31872,0.80927,0.49719,0.49542,0.32746,0.09548,2.97941,1.31455,1.62162,0.007855,0.007855,0.007855
67,8870.46,0.66437,0.31786,0.80929,0.49699,0.49547,0.32745,0.09534,2.9826,1.31502,1.62338,0.007822,0.007822,0.007822
